epoch,dice_ET,dice_NETC,dice_RC,dice_SNFH,dice_bg,dice_coef,dice_tumor_core,dice_whole_tumor,learning_rate,loss,val_dice_ET,val_dice_NETC,val_dice_RC,val_dice_SNFH,val_dice_bg,val_dice_coef,val_dice_tumor_core,val_dice_whole_tumor,val_loss
0,0.009647066704928875,0.5492935180664062,0.06601784378290176,0.08955317735671997,0.959276020526886,0.1948239654302597,0.5160433650016785,0.4346480369567871,0.0010000000474974513,0.9892746806144714,0.005200786516070366,0.7393096089363098,0.3452831208705902,0.4855613708496094,0.9883924126625061,0.3087124228477478,0.7494623064994812,0.7568188905715942,0.7829350233078003
1,0.04551162198185921,0.739159882068634,0.4182439148426056,0.7240667343139648,0.9905976057052612,0.3505430221557617,0.7463114857673645,0.7727985978126526,0.0010000000474974513,0.7194254994392395,0.04788321629166603,0.7367624044418335,0.448121577501297,0.6501248478889465,0.9887123703956604,0.367095023393631,0.7429495453834534,0.7599438428878784,0.7125874161720276
2,0.09648515284061432,0.7672498226165771,0.5125783085823059,0.7903441786766052,0.9924970269203186,0.40312159061431885,0.7768265008926392,0.8081069588661194,0.0010000000474974513,0.6573321223258972,0.10381917655467987,0.7893596887588501,0.5348417162895203,0.6851308345794678,0.9930582046508789,0.42347079515457153,0.7977160215377808,0.8101364970207214,0.6537128686904907
3,0.14968125522136688,0.7791731357574463,0.5995740294456482,0.7955028414726257,0.9931331276893616,0.42589542269706726,0.7871428728103638,0.818397581577301,0.0010000000474974513,0.6339343786239624,0.014196623116731644,0.6647149324417114,0.5428948998451233,0.664477527141571,0.9905949831008911,0.375847727060318,0.6709271669387817,0.6879597902297974,0.7424346804618835
4,0.13456855714321136,0.7933857440948486,0.6288915872573853,0.8023187518119812,0.9936059713363647,0.4638737440109253,0.800208568572998,0.8308183550834656,0.0010000000474974513,0.5950383543968201,4.9711132305674255e-05,0.8078067898750305,0.5855145454406738,0.7061586976051331,0.9939044713973999,0.5465468764305115,0.8174321055412292,0.8266456723213196,0.5424191355705261
5,0.0001615133078303188,0.8109691739082336,0.6216686964035034,0.8263031840324402,0.9940693378448486,0.5577471256256104,0.8162047266960144,0.8436397910118103,0.0010000000474974513,0.5063683986663818,2.8053802452632226e-05,0.8163924813270569,0.5167868137359619,0.6960422396659851,0.9933044910430908,0.5461031794548035,0.8249506950378418,0.8326940536499023,0.5389902591705322
6,1.4485603060165886e-05,0.783989429473877,0.6062133312225342,0.7833196520805359,0.9932993054389954,0.5465444922447205,0.7917571663856506,0.8239420056343079,0.0010000000474974513,0.5316681861877441,4.1096889617620036e-05,0.7783521413803101,0.6180039644241333,0.7022424340248108,0.9911340475082397,0.5457684993743896,0.7827427983283997,0.7965100407600403,0.5377622246742249
7,5.869772394362371e-06,0.8021846413612366,0.6581520438194275,0.8012815713882446,0.9940698146820068,0.5795442461967468,0.806269645690918,0.8336196541786194,0.0010000000474974513,0.48589619994163513,1.0625126378727145e-05,0.8017081022262573,0.5447229743003845,0.45601505041122437,0.9928458333015442,0.5028831958770752,0.8112975358963013,0.8023725152015686,0.6076824069023132
8,8.261510629381519e-06,0.8107029795646667,0.6458763480186462,0.7936740517616272,0.9940074682235718,0.5760003328323364,0.8170294761657715,0.8428385257720947,0.0010000000474974513,0.4929327070713043,1.2348771633696742e-05,0.7992269396781921,0.601624071598053,0.6847710609436035,0.9926655888557434,0.5383234024047852,0.8052210211753845,0.8181951642036438,0.539334774017334
9,2.046822010015603e-05,0.8157652616500854,0.6385001540184021,0.8272059559822083,0.9944828152656555,0.5787125825881958,0.8212839365005493,0.8493375778198242,0.0010000000474974513,0.48168623447418213,1.1940406693611294e-05,0.7897005677223206,0.6276625394821167,0.6791585087776184,0.9936573505401611,0.5547237992286682,0.8011059165000916,0.8140804171562195,0.5330570340156555
